Exam - Question 4**1ZZGHxVC1ubjagwkgfsbz4Onfb-QJeY9uD8qchjswoOTCJdhT0FN3Js-KkxxQQnB9fx03p147
Exam - Question 3**1oYpWWt9M9m0N9I-jlpTDCc2dwN4yaQ9-NBcBqdeimuu3ptSP6owVYBodO8mMGIl8SxDapkqQ
Exam - Question 2**1dYFRpcedQJY6M0f9z3COv9sW1UGpYvebrvVqHMP0W-E5a_hasRVK3a-S7sj4L_-NQZ2J6z--
Exam - Question 1**1jcJ667PbdR_S_yLO_Qxjx63-ahz_OATPMPMHyVZmTSKa7HjPaLszg77G0jlc-ePJWGu5m7on
Activity15: Write the HSPC Program  Intersecting circles problem**0Bya_X1cZJP9TfmxteWJXcGlXZ3pDUUlUWjZNSVdvZVJYYlgxT01iUnBnVHZab3lTVG96aGs
Activity14: Write the HSPC Program 2009 Problem 4 Payroll Processing.**0Bya_X1cZJP9TfjRYbndiTW53eENwYWNYbnBFN0RvT3B0ZnZTVXRtaDNfM3NGUXlsbEZNdjQ
Activity9: Write a program to find sum of n different numbers.**0Bya_X1cZJP9TfmJfYTJVQTkxdUk0T0hXOHd2MElnc3VnaDlsVlpfUmd6dmtQSDF5MzhSRHc
Activity3: Write a program to the volume of tromboloid given h, d, b.**0Bya_X1cZJP9TfmtlY2FjeV9PWm1sOUJha0hEUDJNVXQ2Z3dSZ0xTT0ZBWktGM0FXUF9fME0
Activity2: Write a program to add two numbers and print the sum.**0Bya_X1cZJP9Tfm9KUHAtd3FZWF9wcFZERkdzVnUwRk5uZHo1TWNFcWNlcWhGUUJ0R3RmMEE
Activity13: Write the HSPC Program 2007 Problem 1 Rectangle Area**0Bya_X1cZJP9TfkU1MHZwc2xXYnZZLVltNFpMX29aYVducEdiOXFyVEN4VGowa3o2aHJLRG8
Activity12: Write the HSPC Program 2007 Problem 2 Egyptian Fractions**0Bya_X1cZJP9TfnJ4SU8zaTV2THJkZ1kyeGx4a2ZYTVFrWmdxeERhSzNHZjlRdUM5MUNDeFk
Activity11`: Write the HSPC Program 2006 Problem 3 Grade book.**0Bya_X1cZJP9Tfmxvd0twUUdFQXFDU2VQdERyajNRa0JqeFBaaHpfeDBpOFJiN2VWYWJDMk0
Activity8: Write a program to add two fractions using Structure and Function.**0Bya_X1cZJP9TfmtMUmVXNjd3QkVfYnQwR0pnY2RGVmxWT3Z5NkRZUGtzWXlJa085N1lXbms
Activity10: Write a program to compute sum of n fractions using structures and functions.**0Bya_X1cZJP9TfnVDdGNNcTduYVdhSDdZN3ExWDdZUm9OSWpFSkNseDhQZkFrWm1XWnJrYTQ
Activity7: Write a program to find the distance between two points using structures and functions.**0Bya_X1cZJP9TfktDSFFKZy1SUnFFdGsxRWRuRlJubUU0ZDhFSmdDNlRfVTA5cmtsT21GWkE
Activity6: Write a program to find distance between two points using 4 functions.**0Bya_X1cZJP9TfjJTZldvVzFxR0wzYnQtU3VKNThOUnlpeHRjRk9sWnhqSl9QaENiZ2Z5ZFU
Activity5: Write a program to find the volume of a tromboloid using 4 functions.**0Bya_X1cZJP9TflRPdHQ3dHBkUk1wWTRsUFE4MUVrLXlJWmJhRkZJWjF0dWpsSWRjR0pkMXc
Activity4: Write a program to add two numbers using 4 functions.**0Bya_X1cZJP9Tfmw1bG5kTXV4WEpSRkhDcmFDejFQRWZFMVJmRmlFb1pBQ2NFXy1mWklVTW8
Activity1: Write a program to print your name.**0Bya_X1cZJP9Tfm5kamZnNUp2OXVDX0hqT1NSbkliT0RTOWV4YklrTjJUZTB1S0VmbWFpanc
